KRA submission ID,Experiment ID,Experiment Access type,Run ID,Library Layout,file path,KBQC 여부,검증파일명 목록
KRA2462478,KAE24063496,Public,KAR24063496,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567236/523_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567236/523_2.fq.gz,완료,"523_1.fq.gz,523_2.fq.gz"
KRA2462478,KAE24063495,Public,KAR24063495,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567235/522_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567235/522_2.fq.gz,완료,"522_1.fq.gz,522_2.fq.gz"
KRA2462478,KAE24063494,Public,KAR24063494,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567234/521_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567234/521_2.fq.gz,완료,"521_1.fq.gz,521_2.fq.gz"
KRA2462478,KAE24063493,Public,KAR24063493,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567233/520_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567233/520_2.fq.gz,완료,"520_1.fq.gz,520_2.fq.gz"
KRA2462478,KAE24063492,Public,KAR24063492,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567232/439_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567232/439_2.fq.gz,완료,"439_1.fq.gz,439_2.fq.gz"
KRA2462478,KAE24063491,Public,KAR24063491,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567231/438_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567231/438_2.fq.gz,완료,"438_1.fq.gz,438_2.fq.gz"
KRA2462478,KAE24063490,Public,KAR24063490,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567230/437_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567230/437_2.fq.gz,완료,"437_1.fq.gz,437_2.fq.gz"
KRA2462478,KAE24063489,Public,KAR24063489,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567229/436_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567229/436_2.fq.gz,완료,"436_1.fq.gz,436_2.fq.gz"
KRA2462478,KAE24063488,Public,KAR24063488,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567228/435_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567228/435_2.fq.gz,완료,"435_1.fq.gz,435_2.fq.gz"
KRA2462478,KAE24063487,Public,KAR24063487,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567227/434_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567227/434_2.fq.gz,완료,"434_1.fq.gz,434_2.fq.gz"
KRA2462478,KAE24063486,Public,KAR24063486,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567226/433_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567226/433_2.fq.gz,완료,"433_1.fq.gz,433_2.fq.gz"
KRA2462478,KAE24063485,Public,KAR24063485,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567225/432_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567225/432_2.fq.gz,완료,"432_1.fq.gz,432_2.fq.gz"
KRA2462478,KAE24063484,Public,KAR24063484,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567224/431_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567224/431_2.fq.gz,완료,"431_1.fq.gz,431_2.fq.gz"
KRA2462478,KAE24063483,Public,KAR24063483,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567223/183_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567223/183_2.fq.gz,완료,"183_1.fq.gz,183_2.fq.gz"
KRA2462478,KAE24063482,Public,KAR24063482,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567222/182_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567222/182_2.fq.gz,완료,"182_1.fq.gz,182_2.fq.gz"
KRA2462478,KAE24063481,Public,KAR24063481,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567221/181_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567221/181_2.fq.gz,완료,"181_1.fq.gz,181_2.fq.gz"
KRA2462478,KAE24063480,Public,KAR24063480,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567220/180_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567220/180_2.fq.gz,완료,"180_1.fq.gz,180_2.fq.gz"
KRA2462478,KAE24063479,Public,KAR24063479,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567219/179_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567219/179_2.fq.gz,완료,"179_1.fq.gz,179_2.fq.gz"
KRA2462478,KAE24063478,Public,KAR24063478,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567218/178_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567218/178_2.fq.gz,완료,"178_1.fq.gz,178_2.fq.gz"
KRA2462478,KAE24063477,Public,KAR24063477,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567217/177_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567217/177_2.fq.gz,완료,"177_1.fq.gz,177_2.fq.gz"
KRA2462478,KAE24063476,Public,KAR24063476,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567216/176_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567216/176_2.fq.gz,완료,"176_1.fq.gz,176_2.fq.gz"
KRA2462478,KAE24063475,Public,KAR24063475,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567215/175_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567215/175_2.fq.gz,완료,"175_1.fq.gz,175_2.fq.gz"
KRA2462478,KAE24063474,Public,KAR24063474,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567214/105_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567214/105_2.fq.gz,완료,"105_1.fq.gz,105_2.fq.gz"
KRA2462478,KAE24063473,Public,KAR24063473,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567213/104_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567213/104_2.fq.gz,완료,"104_1.fq.gz,104_2.fq.gz"
KRA2462478,KAE24063472,Public,KAR24063472,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567212/103_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567212/103_2.fq.gz,완료,"103_1.fq.gz,103_2.fq.gz"
